canonical_resource_id	display_name	domain	legacy_status	legacy_resolution_method	current_expected_strategy	preferred_current_source_key	preferred_schema	preferred_table_or_view	known_aliases	source_map_role	requires_direct_sql	requires_manual_file	requires_embedded_field_mapping	current_validation_status	notes
patient	Patient	Core	loaded	load_dataset/direct_get_after_safe_load	standard_table	patient		patient	patient;Patient;PATIENT	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_dalycare_diagnoses	DALY-CARE diagnoses	Core	loaded	load_dataset/direct_get_after_safe_load	standard_table	t_dalycare_diagnoses		t_dalycare_diagnoses	t_dalycare_diagnoses;T_DALYCARE_DIAGNOSES;dalycare_diagnoses	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
diagnoses_all	All diagnoses	Core	loaded	load_dataset/direct_get_after_safe_load	standard_table	diagnoses_all		diagnoses_all	diagnoses_all;Diagnoses_all;diagnoses;view_diagnoses_all	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
RKKP_DaMyDa	DaMyDa registry	RKKP	loaded	load_dataset/direct_get_after_safe_load	standard_table	RKKP_DaMyDa		RKKP_DaMyDa	RKKP_DaMyDa;rkkp_damyda;DaMyDa;damyda;clean_RKKP_DAMYDA	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
RKKP_LYFO	LYFO registry	RKKP	loaded	load_dataset/direct_get_after_safe_load	standard_table	RKKP_LYFO		RKKP_LYFO	RKKP_LYFO;rkkp_lyfo;LYFO;clean_RKKP_LYFO	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
RKKP_CLL	CLL registry	RKKP	loaded	load_dataset/direct_get_after_safe_load	standard_table	RKKP_CLL		RKKP_CLL	RKKP_CLL;rkkp_cll;CLL;DCLLR;clean_RKKP_CLL	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
SDS_epikur	Epikur	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_epikur		SDS_epikur	SDS_epikur;EKOKUR?;epikur;SDS_Epikur	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
EKOKUR	Ekokur	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_ekokur		SDS_ekokur	SDS_ekokur;EKOKUR;ekokur	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
indberetningmedpris	SMR in-hospital medicine	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_indberetningmedpris		SDS_indberetningmedpris	SDS_indberetningmedpris;indberetningmedpris;SMR	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_adm	Admissions	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_t_adm		SDS_t_adm	SDS_t_adm;t_adm	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_diag	Diagnoses	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_t_diag		SDS_t_diag	SDS_t_diag;t_diag	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_sksopr	SKS operations	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_t_sksopr		SDS_t_sksopr	SDS_t_sksopr;t_sksopr;SDS_sksopr	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_sksube	SKS supplementary procedures	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_t_sksube		SDS_t_sksube	SDS_t_sksube;t_sksube;SDS_sksube	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
t_udtilsgh	Hospital transfers	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_t_udtilsgh		SDS_t_udtilsgh	SDS_t_udtilsgh;t_udtilsgh;SDS_udtilsgh	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
pato	PATOBANK coded pathology	SDS	loaded	load_dataset/direct_get_after_safe_load	standard_table	SDS_pato		SDS_pato	SDS_pato;pato;PATOBANK	canonical_resource	FALSE	FALSE	FALSE	resolver_configured
